number,title,slug,link,language,runtime,memory,file
1930,Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/,cpp,149 ms,15.9 MB,1930-unique-length-3-palindromic-subsequences.cpp
1970,Last Day Where You Can Still Cross,last-day-where-you-can-still-cross,https://leetcode.com/problems/last-day-where-you-can-still-cross/,cpp,0 ms,175.2 MB,1970-last-day-where-you-can-still-cross.cpp
1975,Maximum Matrix Sum,maximum-matrix-sum,https://leetcode.com/problems/maximum-matrix-sum/,cpp,0 ms,39.1 MB,1975-maximum-matrix-sum.cpp
1984,Minimum Difference Between Highest and Lowest of K Scores,minimum-difference-between-highest-and-lowest-of-k-scores,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/,cpp,0 ms,17.3 MB,1984-minimum-difference-between-highest-and-lowest-of-k-scores.cpp
2011,Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,https://leetcode.com/problems/final-value-of-variable-after-performing-operations/,cpp,0 ms,17.5 MB,2011-final-value-of-variable-after-performing-operations.cpp
2043,Simple Bank System,simple-bank-system,https://leetcode.com/problems/simple-bank-system/,cpp,11 ms,123.5 MB,2043-simple-bank-system.cpp
2048,Next Greater Numerically Balanced Number,next-greater-numerically-balanced-number,https://leetcode.com/problems/next-greater-numerically-balanced-number/,cpp,548 ms,254.9 MB,2048-next-greater-numerically-balanced-number.cpp
2054,Two Best Non-Overlapping Events,two-best-non-overlapping-events,https://leetcode.com/problems/two-best-non-overlapping-events/,cpp,0 ms,162.2 MB,2054-two-best-non-overlapping-events.cpp
2092,Find All People With Secret,find-all-people-with-secret,https://leetcode.com/problems/find-all-people-with-secret/,cpp,0 ms,445.9 MB,2092-find-all-people-with-secret.cpp
2110,Number of Smooth Descent Periods of a Stock,number-of-smooth-descent-periods-of-a-stock,https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock/,cpp,0 ms,107.2 MB,2110-number-of-smooth-descent-periods-of-a-stock.cpp
2125,Number of Laser Beams in a Bank,number-of-laser-beams-in-a-bank,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,cpp,9 ms,27.3 MB,2125-number-of-laser-beams-in-a-bank.cpp
2141,Maximum Running Time of N Computers,maximum-running-time-of-n-computers,https://leetcode.com/problems/maximum-running-time-of-n-computers/,cpp,19 ms,59.7 MB,2141-maximum-running-time-of-n-computers.cpp
2144,Minimum Cost of Buying Candies With Discount,minimum-cost-of-buying-candies-with-discount,https://leetcode.com/problems/minimum-cost-of-buying-candies-with-discount/,cpp,0 ms,17.1 MB,2144-minimum-cost-of-buying-candies-with-discount.cpp
2147,Number of Ways to Divide a Long Corridor,number-of-ways-to-divide-a-long-corridor,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor/,cpp,0 ms,33.7 MB,2147-number-of-ways-to-divide-a-long-corridor.cpp
2149,Rearrange Array Elements by Sign,rearrange-array-elements-by-sign,https://leetcode.com/problems/rearrange-array-elements-by-sign/,cpp,1 ms,128.4 MB,2149-rearrange-array-elements-by-sign.cpp
2154,Keep Multiplying Found Values by Two,keep-multiplying-found-values-by-two,https://leetcode.com/problems/keep-multiplying-found-values-by-two/,cpp,0 ms,14.2 MB,2154-keep-multiplying-found-values-by-two.cpp
2169,Count Operations to Obtain Zero,count-operations-to-obtain-zero,https://leetcode.com/problems/count-operations-to-obtain-zero/,cpp,0 ms,7.9 MB,2169-count-operations-to-obtain-zero.cpp
2211,Count Collisions on a Road,count-collisions-on-a-road,https://leetcode.com/problems/count-collisions-on-a-road/,cpp,7 ms,19.1 MB,2211-count-collisions-on-a-road.cpp
2220,Minimum Bit Flips to Convert Number,minimum-bit-flips-to-convert-number,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,cpp,0 ms,7.9 MB,2220-minimum-bit-flips-to-convert-number.cpp
2257,Count Unguarded Cells in the Grid,count-unguarded-cells-in-the-grid,https://leetcode.com/problems/count-unguarded-cells-in-the-grid/,cpp,212 ms,209.2 MB,2257-count-unguarded-cells-in-the-grid.cpp
2259,Remove Digit From Number to Maximize Result,remove-digit-from-number-to-maximize-result,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/,cpp,0 ms,8.3 MB,2259-remove-digit-from-number-to-maximize-result.cpp
2264,Largest 3-Same-Digit Number in String,largest-3-same-digit-number-in-string,https://leetcode.com/problems/largest-3-same-digit-number-in-string/,cpp,0 ms,9.2 MB,2264-largest-3-same-digit-number-in-string.cpp
2396,Strictly Palindromic Number,strictly-palindromic-number,https://leetcode.com/problems/strictly-palindromic-number/,cpp,0 ms,7.6 MB,2396-strictly-palindromic-number.cpp
2402,Meeting Rooms III,meeting-rooms-iii,https://leetcode.com/problems/meeting-rooms-iii/,cpp,0 ms,98.1 MB,2402-meeting-rooms-iii.cpp
2435,Paths in Matrix Whose Sum Is Divisible by K,paths-in-matrix-whose-sum-is-divisible-by-k,https://leetcode.com/problems/paths-in-matrix-whose-sum-is-divisible-by-k/,cpp,63 ms,58.2 MB,2435-paths-in-matrix-whose-sum-is-divisible-by-k.cpp
2483,Minimum Penalty for a Shop,minimum-penalty-for-a-shop,https://leetcode.com/problems/minimum-penalty-for-a-shop/,cpp,0 ms,13.2 MB,2483-minimum-penalty-for-a-shop.cpp
2528,Maximize the Minimum Powered City,maximize-the-minimum-powered-city,https://leetcode.com/problems/maximize-the-minimum-powered-city/,cpp,63 ms,227.7 MB,2528-maximize-the-minimum-powered-city.cpp
2536,Increment Submatrices by One,increment-submatrices-by-one,https://leetcode.com/problems/increment-submatrices-by-one/,cpp,43 ms,86.2 MB,2536-increment-submatrices-by-one.cpp
2540,Minimum Common Value,minimum-common-value,https://leetcode.com/problems/minimum-common-value/,cpp,0 ms,54.5 MB,2540-minimum-common-value.cpp
2596,Check Knight Tour Configuration,check-knight-tour-configuration,https://leetcode.com/problems/check-knight-tour-configuration/,cpp,0 ms,31.7 MB,2596-check-knight-tour-configuration.cpp
2654,Minimum Number of Operations to Make All Array Elements Equal to 1,minimum-number-of-operations-to-make-all-array-elements-equal-to-1,https://leetcode.com/problems/minimum-number-of-operations-to-make-all-array-elements-equal-to-1/,cpp,0 ms,31.7 MB,2654-minimum-number-of-operations-to-make-all-array-elements-equal-to-1.cpp
2657,Find the Prefix Common Array of Two Arrays,find-the-prefix-common-array-of-two-arrays,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays/,cpp,7 ms,86.3 MB,2657-find-the-prefix-common-array-of-two-arrays.cpp
2833,Furthest Point From Origin,furthest-point-from-origin,https://leetcode.com/problems/furthest-point-from-origin/,cpp,2 ms,9 MB,2833-furthest-point-from-origin.cpp
2872,Maximum Number of K-Divisible Components,maximum-number-of-k-divisible-components,https://leetcode.com/problems/maximum-number-of-k-divisible-components/,cpp,96 ms,174.2 MB,2872-maximum-number-of-k-divisible-components.cpp
2943,Maximize Area of Square Hole in Grid,maximize-area-of-square-hole-in-grid,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid/,cpp,0 ms,31.9 MB,2943-maximize-area-of-square-hole-in-grid.cpp
2975,Maximum Square Area by Removing Fences From a Field,maximum-square-area-by-removing-fences-from-a-field,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field/,cpp,0 ms,267.1 MB,2975-maximum-square-area-by-removing-fences-from-a-field.cpp
2976,Minimum Cost to Convert String I,minimum-cost-to-convert-string-i,https://leetcode.com/problems/minimum-cost-to-convert-string-i/,cpp,0 ms,100.4 MB,2976-minimum-cost-to-convert-string-i.cpp
2977,Minimum Cost to Convert String II,minimum-cost-to-convert-string-ii,https://leetcode.com/problems/minimum-cost-to-convert-string-ii/,cpp,561 ms,247.7 MB,2977-minimum-cost-to-convert-string-ii.cpp
3010,Divide an Array Into Subarrays With Minimum Cost I,divide-an-array-into-subarrays-with-minimum-cost-i,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i/,cpp,0 ms,30.4 MB,3010-divide-an-array-into-subarrays-with-minimum-cost-i.cpp
3013,Divide an Array Into Subarrays With Minimum Cost II,divide-an-array-into-subarrays-with-minimum-cost-ii,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii/,cpp,0 ms,184 MB,3013-divide-an-array-into-subarrays-with-minimum-cost-ii.cpp
3043,Find the Length of the Longest Common Prefix,find-the-length-of-the-longest-common-prefix,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/,cpp,344 ms,152.9 MB,3043-find-the-length-of-the-longest-common-prefix.cpp
3047,Find the Largest Area of Square Inside Two Rectangles,find-the-largest-area-of-square-inside-two-rectangles,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles/,cpp,0 ms,59.5 MB,3047-find-the-largest-area-of-square-inside-two-rectangles.cpp
3074,Apple Redistribution into Boxes,apple-redistribution-into-boxes,https://leetcode.com/problems/apple-redistribution-into-boxes/,cpp,0 ms,33 MB,3074-apple-redistribution-into-boxes.cpp
3075,Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,https://leetcode.com/problems/maximize-happiness-of-selected-children/,cpp,0 ms,108 MB,3075-maximize-happiness-of-selected-children.cpp
3120,Count the Number of Special Characters I,count-the-number-of-special-characters-i,https://leetcode.com/problems/count-the-number-of-special-characters-i/,cpp,0 ms,8.9 MB,3120-count-the-number-of-special-characters-i.cpp
3121,Count the Number of Special Characters II,count-the-number-of-special-characters-ii,https://leetcode.com/problems/count-the-number-of-special-characters-ii/,cpp,77 ms,24.5 MB,3121-count-the-number-of-special-characters-ii.cpp
3190,Find Minimum Operations to Make All Elements Divisible by Three,find-minimum-operations-to-make-all-elements-divisible-by-three,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three/,cpp,0 ms,23.3 MB,3190-find-minimum-operations-to-make-all-elements-divisible-by-three.cpp
3217,Delete Nodes From Linked List Present in Array,delete-nodes-from-linked-list-present-in-array,https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array/,cpp,100 ms,263.4 MB,3217-delete-nodes-from-linked-list-present-in-array.cpp
3228,Maximum Number of Operations to Move Ones to the End,maximum-number-of-operations-to-move-ones-to-the-end,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end/,cpp,0 ms,15.8 MB,3228-maximum-number-of-operations-to-move-ones-to-the-end.cpp
3234,Count the Number of Substrings With Dominant Ones,count-the-number-of-substrings-with-dominant-ones,https://leetcode.com/problems/count-the-number-of-substrings-with-dominant-ones/,cpp,1474 ms,18.2 MB,3234-count-the-number-of-substrings-with-dominant-ones.cpp
3289,The Two Sneaky Numbers of Digitville,the-two-sneaky-numbers-of-digitville,https://leetcode.com/problems/the-two-sneaky-numbers-of-digitville/,cpp,0 ms,26 MB,3289-the-two-sneaky-numbers-of-digitville.cpp
3314,Construct the Minimum Bitwise Array I,construct-the-minimum-bitwise-array-i,https://leetcode.com/problems/construct-the-minimum-bitwise-array-i/,cpp,0 ms,25.2 MB,3314-construct-the-minimum-bitwise-array-i.cpp
3315,Construct the Minimum Bitwise Array II,construct-the-minimum-bitwise-array-ii,https://leetcode.com/problems/construct-the-minimum-bitwise-array-ii/,cpp,0 ms,28.4 MB,3315-construct-the-minimum-bitwise-array-ii.cpp
3318,Find X-Sum of All K-Long Subarrays I,find-x-sum-of-all-k-long-subarrays-i,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-i/,cpp,19 ms,37.4 MB,3318-find-x-sum-of-all-k-long-subarrays-i.cpp
3321,Find X-Sum of All K-Long Subarrays II,find-x-sum-of-all-k-long-subarrays-ii,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-ii/,cpp,746 ms,280.5 MB,3321-find-x-sum-of-all-k-long-subarrays-ii.cpp
3346,Maximum Frequency of an Element After Performing Operations I,maximum-frequency-of-an-element-after-performing-operations-i,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-i/,cpp,14 ms,96.2 MB,3346-maximum-frequency-of-an-element-after-performing-operations-i.cpp
3347,Maximum Frequency of an Element After Performing Operations II,maximum-frequency-of-an-element-after-performing-operations-ii,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/,cpp,1245 ms,286.3 MB,3347-maximum-frequency-of-an-element-after-performing-operations-ii.cpp
3354,Make Array Elements Equal to Zero,make-array-elements-equal-to-zero,https://leetcode.com/problems/make-array-elements-equal-to-zero/,cpp,230 ms,24.1 MB,3354-make-array-elements-equal-to-zero.cpp
3370,Smallest Number With All Set Bits,smallest-number-with-all-set-bits,https://leetcode.com/problems/smallest-number-with-all-set-bits/,cpp,0 ms,8.1 MB,3370-smallest-number-with-all-set-bits.cpp
3379,Transformed Array,transformed-array,https://leetcode.com/problems/transformed-array/,cpp,0 ms,25.7 MB,3379-transformed-array.cpp
3381,Maximum Subarray Sum With Length Divisible by K,maximum-subarray-sum-with-length-divisible-by-k,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/,cpp,8 ms,171.2 MB,3381-maximum-subarray-sum-with-length-divisible-by-k.cpp
3392,Count Subarrays of Length Three With a Condition,count-subarrays-of-length-three-with-a-condition,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition/,cpp,3 ms,48.4 MB,3392-count-subarrays-of-length-three-with-a-condition.cpp
3432,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,https://leetcode.com/problems/count-partitions-with-even-sum-difference/,cpp,0 ms,22.4 MB,3432-count-partitions-with-even-sum-difference.cpp
3433,Count Mentions Per User,count-mentions-per-user,https://leetcode.com/problems/count-mentions-per-user/,cpp,25 ms,43.4 MB,3433-count-mentions-per-user.cpp
3453,Separate Squares I,separate-squares-i,https://leetcode.com/problems/separate-squares-i/,cpp,0 ms,198.5 MB,3453-separate-squares-i.cpp
3454,Separate Squares II,separate-squares-ii,https://leetcode.com/problems/separate-squares-ii/,cpp,367 ms,139.9 MB,3454-separate-squares-ii.cpp
3461,Check If Digits Are Equal in String After Operations I,check-if-digits-are-equal-in-string-after-operations-i,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/,cpp,4 ms,10.1 MB,3461-check-if-digits-are-equal-in-string-after-operations-i.cpp
3507,Minimum Pair Removal to Sort Array I,minimum-pair-removal-to-sort-array-i,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-i/,cpp,0 ms,26.5 MB,3507-minimum-pair-removal-to-sort-array-i.cpp
3510,Minimum Pair Removal to Sort Array II,minimum-pair-removal-to-sort-array-ii,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-ii/,cpp,0 ms,314.7 MB,3510-minimum-pair-removal-to-sort-array-ii.cpp
3512,Minimum Operations to Make Array Sum Divisible by K,minimum-operations-to-make-array-sum-divisible-by-k,https://leetcode.com/problems/minimum-operations-to-make-array-sum-divisible-by-k/,cpp,0 ms,45.3 MB,3512-minimum-operations-to-make-array-sum-divisible-by-k.cpp
3531,Count Covered Buildings,count-covered-buildings,https://leetcode.com/problems/count-covered-buildings/,cpp,23 ms,283.8 MB,3531-count-covered-buildings.cpp
3542,Minimum Operations to Convert All Elements to Zero,minimum-operations-to-convert-all-elements-to-zero,https://leetcode.com/problems/minimum-operations-to-convert-all-elements-to-zero/,cpp,36 ms,222.3 MB,3542-minimum-operations-to-convert-all-elements-to-zero.cpp
3562,Maximum Profit from Trading Stocks with Discounts,maximum-profit-from-trading-stocks-with-discounts,https://leetcode.com/problems/maximum-profit-from-trading-stocks-with-discounts/,cpp,0 ms,162.5 MB,3562-maximum-profit-from-trading-stocks-with-discounts.cpp
3573,Best Time to Buy and Sell Stock V,best-time-to-buy-and-sell-stock-v,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-v/,cpp,0 ms,343.4 MB,3573-best-time-to-buy-and-sell-stock-v.cpp
3577,Count the Number of Computer Unlocking Permutations,count-the-number-of-computer-unlocking-permutations,https://leetcode.com/problems/count-the-number-of-computer-unlocking-permutations/,cpp,0 ms,92.7 MB,3577-count-the-number-of-computer-unlocking-permutations.cpp
3578,Count Partitions With Max-Min Difference at Most K,count-partitions-with-max-min-difference-at-most-k,https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k/,cpp,0 ms,232.3 MB,3578-count-partitions-with-max-min-difference-at-most-k.cpp
3583,Count Special Triplets,count-special-triplets,https://leetcode.com/problems/count-special-triplets/,cpp,763 ms,403 MB,3583-count-special-triplets.cpp
3606,Coupon Code Validator,coupon-code-validator,https://leetcode.com/problems/coupon-code-validator/,cpp,7 ms,70.2 MB,3606-coupon-code-validator.cpp
3607,Power Grid Maintenance,power-grid-maintenance,https://leetcode.com/problems/power-grid-maintenance/,cpp,510 ms,432.6 MB,3607-power-grid-maintenance.cpp
3623,Count Number of Trapezoids I,count-number-of-trapezoids-i,https://leetcode.com/problems/count-number-of-trapezoids-i/,cpp,59 ms,191.7 MB,3623-count-number-of-trapezoids-i.cpp
3625,Count Number of Trapezoids II,count-number-of-trapezoids-ii,https://leetcode.com/problems/count-number-of-trapezoids-ii/,cpp,2574 ms,401 MB,3625-count-number-of-trapezoids-ii.cpp
3633,Earliest Finish Time for Land and Water Rides I,earliest-finish-time-for-land-and-water-rides-i,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-i/,cpp,10 ms,91.7 MB,3633-earliest-finish-time-for-land-and-water-rides-i.cpp
3634,Minimum Removals to Balance Array,minimum-removals-to-balance-array,https://leetcode.com/problems/minimum-removals-to-balance-array/,cpp,30 ms,105 MB,3634-minimum-removals-to-balance-array.cpp
3637,Trionic Array I,trionic-array-i,https://leetcode.com/problems/trionic-array-i/,cpp,0 ms,27.7 MB,3637-trionic-array-i.cpp
3640,Trionic Array II,trionic-array-ii,https://leetcode.com/problems/trionic-array-ii/,cpp,4 ms,132.6 MB,3640-trionic-array-ii.cpp
3650,Minimum Cost Path with Edge Reversals,minimum-cost-path-with-edge-reversals,https://leetcode.com/problems/minimum-cost-path-with-edge-reversals/,cpp,0 ms,290.4 MB,3650-minimum-cost-path-with-edge-reversals.cpp
3651,Minimum Cost Path with Teleportations,minimum-cost-path-with-teleportations,https://leetcode.com/problems/minimum-cost-path-with-teleportations/,cpp,488 ms,130.4 MB,3651-minimum-cost-path-with-teleportations.cpp
3652,Best Time to Buy and Sell Stock using Strategy,best-time-to-buy-and-sell-stock-using-strategy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-using-strategy/,cpp,0 ms,316 MB,3652-best-time-to-buy-and-sell-stock-using-strategy.cpp
3666,Minimum Operations to Equalize Binary String,minimum-operations-to-equalize-binary-string,https://leetcode.com/problems/minimum-operations-to-equalize-binary-string/,cpp,552 ms,161.5 MB,3666-minimum-operations-to-equalize-binary-string.cpp
3713,Longest Balanced Substring I,longest-balanced-substring-i,https://leetcode.com/problems/longest-balanced-substring-i/,cpp,0 ms,25.5 MB,3713-longest-balanced-substring-i.cpp
3714,Longest Balanced Substring II,longest-balanced-substring-ii,https://leetcode.com/problems/longest-balanced-substring-ii/,cpp,0 ms,242.9 MB,3714-longest-balanced-substring-ii.cpp
3719,Longest Balanced Subarray I,longest-balanced-subarray-i,https://leetcode.com/problems/longest-balanced-subarray-i/,cpp,0 ms,530.5 MB,3719-longest-balanced-subarray-i.cpp
3721,Longest Balanced Subarray II,longest-balanced-subarray-ii,https://leetcode.com/problems/longest-balanced-subarray-ii/,cpp,0 ms,164.1 MB,3721-longest-balanced-subarray-ii.cpp
3917,Count Indices With Opposite Parity,count-indices-with-opposite-parity,https://leetcode.com/problems/count-indices-with-opposite-parity/,cpp,0 ms,32.8 MB,3917-count-indices-with-opposite-parity.cpp
3918,Sum of Primes Between Number and Its Reverse,sum-of-primes-between-number-and-its-reverse,https://leetcode.com/problems/sum-of-primes-between-number-and-its-reverse/,cpp,2 ms,8.5 MB,3918-sum-of-primes-between-number-and-its-reverse.cpp
3919,Minimum Cost to Move Between Indices,minimum-cost-to-move-between-indices,https://leetcode.com/problems/minimum-cost-to-move-between-indices/,cpp,18 ms,234.5 MB,3919-minimum-cost-to-move-between-indices.cpp
